9.500000E-1	7.239807E-1	-2.903080E+0	-1.140539E+0	9.500000E-1	4.676915E-5	-1.875390E-4	-7.367879E-5
1.000000E+0	6.144373E+0	2.986980E+0	4.034065E+0	1.000000E+0	3.969265E-4	1.929589E-4	2.606006E-4
1.050000E+0	1.350543E+1	1.061876E+1	1.184162E+1	1.050000E+0	8.724508E-4	6.859718E-4	7.649687E-4
1.100000E+0	2.209653E+1	1.976416E+1	2.114266E+1	1.100000E+0	1.427436E-3	1.276765E-3	1.365816E-3
1.150000E+0	3.349889E+1	3.254966E+1	3.408136E+1	1.150000E+0	2.164028E-3	2.102708E-3	2.201656E-3
1.200000E+0	4.700913E+1	4.797711E+1	4.971543E+1	1.200000E+0	3.036790E-3	3.099321E-3	3.211617E-3
1.250000E+0	6.277715E+1	6.607274E+1	6.810090E+1	1.250000E+0	4.055404E-3	4.268299E-3	4.399318E-3
1.300000E+0	8.078149E+1	8.664446E+1	8.903785E+1	1.300000E+0	5.218484E-3	5.597232E-3	5.751845E-3
1.350000E+0	1.009430E+2	1.094003E+2	1.122132E+2	1.350000E+0	6.520921E-3	7.067262E-3	7.248974E-3
1.400000E+0	1.231740E+2	1.340712E+2	1.373469E+2	1.400000E+0	7.957043E-3	8.661000E-3	8.872609E-3
1.450000E+0	1.473996E+2	1.604577E+2	1.643868E+2	1.450000E+0	9.522016E-3	1.036557E-2	1.061939E-2
1.500000E+0	1.738655E+2	1.882074E+2	1.927362E+2	1.500000E+0	1.123171E-2	1.215820E-2	1.245076E-2
